Query,Expected Doc,Expected Chunk ID,Expected Chunk Text,Retrieved Doc,Retrieved Chunk,Expected Answer,Retrieved Content,Match
Complete this sentence: 'The mules are not hungry. They're lively and',sr22a_en.txt,19,"[00:01:15.400 --> 00:01:20.400] The mules are not hungry, they're lively and gay.",sr22a_en.txt,19,gay,"[00:01:15.400 --> 00:01:20.400] The mules are not hungry, they're lively and gay.",True
What is the name of the female character mentioned in the song that begins 'In Scarlett town where I was born'?,sr02b_en.txt,32,"[00:02:17.000 --> 00:02:25.000] Made every youth, I will aware, and a name was Barbrae Allen.",sr02b_en.txt,31,Barbrae Allen,"[00:02:08.000 --> 00:02:17.000] In Scarlett town where I was born, there was a fair made welling.",False
"According to the transcript, what is Captain Pearl R. Nye's favorite ballad?",sr28a_en.txt,93,"[00:05:45.000 --> 00:05:51.000] I said Captain I, I guess Barbara Allen is my favorite of them all.",sr01b_en.txt,37,Barbara Allen,[00:03:15.000 --> 00:03:23.000] The songs on this record were sung by Captain Pearl R. Niles of,False
Complete this phrase from the gospel train song: 'The gospel train is',sr26a_en.txt,2,[00:00:09.000 --> 00:00:11.000] The gospel train is night.,sr26a_en.txt,0,night,[00:00:00.000 --> 00:00:05.000] The gospel train.,False
"In the song 'Barbara Allen,' where was Barbara Allen from?",sr02b_en.txt,31,"[00:02:08.000 --> 00:02:17.000] In Scarlett town where I was born, there was a fair made welling.",sr28a_en.txt,101,Scarlett town,[00:06:24.000 --> 00:06:28.000] And a name was Barbara Allen.,False
"In the song 'Lord Lovele,' how long was Lord Lovele gone before returning?",sr08a_en.txt,-1,[00:05:03.000 --> 00:05:10.000] then in her angry she weakened and dying.,sr08a_en.txt,0,A year or two or three at most,"[00:00:00.000 --> 00:00:05.520] Lord love of His Lord and his castle gates,",False
What instrument does Captain Nye mention loving?,sr22a_en.txt,40,[00:02:52.400 --> 00:02:56.400] But I love my old fiddled mouth organ banjo.,sr27a_en.txt,50,old fiddled mouth organ banjo,"[00:04:51.360 --> 00:04:56.360] But I love my old fidd, though my thorgon banjo.",False
"In the song about pumping out Lake Erie, what will be on the moon when they're done?",sr27b_en.txt,82,"[00:04:51.080 --> 00:04:55.680] And when you get done, you can tell me the sun of the whiskers on",sr18a_en.txt,2,whiskers,about it in my song.,False
Complete this line from a song: 'We land this war down by the',sr05a_en.txt,3,[00:00:11.000 --> 00:00:13.000] lorn down by the river side.,sr05a_en.txt,5,river,[00:00:18.000 --> 00:00:24.000] We land this war down by the river side.,False
What does the singer say they won't do in the song 'I Won't Marry At All'?,sr01b_en.txt,-1,I'll do as I promise.,sr19b_en.txt,28,Marry/Mary at all,"[00:02:29.000 --> 00:02:36.000] For you I'll never marry, oh my own free will.",False
What does the song say will 'outshine the sun'?,sr17b_en.txt,-1,[00:04:16.000 --> 00:04:20.000] And we'll walk the golden streets on high.,sr17b_en.txt,36,We'll/not,"[00:03:12.000 --> 00:03:16.000] Outshine the sun, outshine the sun.",False
"In the 'Dying Cowboy' song, where was the cowboy born?",sr20b_en.txt,41,[00:03:05.000 --> 00:03:09.000] I left them in Boston.,sr20b_en.txt,32,Boston,[00:02:30.000 --> 00:02:33.000] Dying cowboy.,False
